store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
1045 ELGIN ST N,,SW CORNER OF ELGIN AND FRANKLIN,,City of Cambridge,Ontario,N1R 8R3,Canada,,43.391288,-80.302955,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
3120 RUTHERFORD RD,,NW CORNER OF JANE AND RUTHERFORD,,Vaughan,Ontario,L4K 0B1,Canada,,43.830369,-79.534965,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
728 BURLOAK DRIVE,,"WEST SIDE OF BURLOAK, 1 BLOCK S OF QEW",,Burlington,Ontario,L7L1C7,Canada,,43.388302,-79.748208,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
593 BRANT ST.,,NEAR VICTORIA IN BRANT PLAZA,,Burlington,Ontario,L7R 2G6,Canada,,43.329274,-79.803035,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
5969 BALDWIN ST S. BROOKLIN,,SW CORNER OF WINCHESTER AND BALDWIN,,Whitby,Ontario,L1M 1A2,Canada,,43.951922,-78.961755,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
400 STEELES AVE E,,NW CORNER OF STEELES AND KENNEDY,,Brampton,Ontario,L5S1X7,Canada,,43.675707,-79.722771,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1450 HEADON RD.,,WEST OF WALKERS LINE OFF UPPER MIDDLE,,Burlington,Ontario,L7M4A7,Canada,,43.374262,-79.810330,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
10886 HURONTARIO ST. UNIT A-14,,SW CORNER OF HURONTARIO AND WANLESS,,Brampton,Ontario,L6Z4R3,Canada,,43.722202,-79.809137,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
2377 HWY #2,,"SOUTH SIDE, IN CLARINGTON CENTRE",,Clarington,Ontario,L1C1R5,Canada,,43.909170,-78.710485,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
478 HOLLAND ST W (HWY #88),,IN HOLLAND STREET SQUARE BESIDE LCBO,,Bradford,Ontario,,Canada,,44.108208,-79.590852,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
14 LISA ST,,HWY 7 AND DIXIE ON SW CORNER IN PLAZA,,Brampton,Ontario,L6V1V6,Canada,,43.712059,-79.727178,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
256 QUEEN ST SOUTH,,"SOUTH OF KING ST ON HWY 50, IN PLAZA",,Caledon,Ontario,L7E4Z7,Canada,,43.874689,-79.731443,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
10045 HURONTARIO ST UNIT 6,,NE CORNER OF HURONTARIO AND BOVAIRD,,Brampton,Ontario,L6X 5A5,Canada,,43.706866,-79.788006,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
3975 COTTRELLE BLVD,,SW CORNER OF COTTRELLE AND HWY 50,,Brampton,Ontario,l6p 2r1,Canada,,43.784224,-79.659687,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
285 DUNLOP STREET,,SW CORNER OF DUNLOP AND ANNE,,Barrie,Ontario,L4N5N4,Canada,,44.382392,-79.705702,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
2260 BOVAIRD DRIVE E. BRAMPTON,,NE CORNER OF BOVAIRD AND SUNNY MEADOW,,Brampton,Ontario,L6S4B4,Canada,,43.750953,-79.738045,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
636 YONGE STREET UNIT D2A,,SW CORNER OF YONGE AND BIG BAY POINT,,Barrie,Ontario,L4N 4E6,Canada,,44.356237,-79.646062,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
"80 CLEMENTINE DRIVE, UNIT 13",,SW CORNER OF MAVIS AND STEELES,,Brampton,Ontario,L6Y0Y3,Canada,,43.643658,-79.756181,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1400 OTTAWA ST S,,NW CORNER OF OTTAWA AND FISCHER-HALLMAN,,Kitchener,Ontario,N2E0A3,Canada,,43.416715,-80.513322,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
10 EARLSBRIDGE BLVD,,NE CORNER OF EARLSBRIDGE + CHINGUACOUSY,,Brampton,Ontario,L7A 2Z7,Canada,,43.702403,-79.828191,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
99A MAIN ST E,,SW CORNER OF MAIN AND CHURCH,,Huntsville,Ontario,,Canada,,45.327847,-79.213835,Monday to Thursday 11:00 to Midnight; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
1016 KING ST WEST,,"NW CORNER OF KING + MARION,WESTDALE VIL.",,Hamilton,Ontario,L8S 1A1,Canada,,43.262106,-79.905592,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
1405 UPPER JAMES ST. UNIT A3,,"BETWEEN STONE CHURCH AND RYMAL, E SIDE",,Hamilton,Ontario,L9C 3B3,Canada,,43.208099,-79.890560,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
5 CLAIR RD W,,NORTH SIDE OF CLAIR RD W AND GORDON ST,,Guelph,Ontario,N1L 0Z6,Canada,,43.500191,-80.19131,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
700 QUEENSTON RD,,SW CORNER OF QUEENSTON AND NASH,,Stoney Creek,Ontario,L8J3Z6,Canada,,43.229685,-79.772349,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
369 MOUNTAINVIEW ROAD SOUTH,,SE CORNER OF MOUNTAINVIEW AND ARGYLL,,Halton Hills,Ontario,L7G 2X3,Canada,,43.630486,-79.876633,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
4-1160 UPPER PARADISE ROAD,,NW CORNER OF RYMAL AND UPPER PARADISE,,Hamilton,Ontario,,Canada,,43.210277,-79.922146,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
1701 MARTIN GROVE RD,,SOUTH OF FINCH IN JOHN GARLAND PLAZA,,Toronto,Ontario,M9V 3R4,Canada,,43.733150,-79.588378,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
129 MARTINGROVE RD,,NE CORNER MARTINGROVE AND BURNHAMTHORPE,,Toronto,Ontario,M9C4Z6,Canada,,43.648935,-79.548923,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1700 KING RD,,NW CORNER OF DUFFERIN AND KING,,King,Ontario,L7B 0C6,Canada,,43.933962,-79.505031,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1500 ROYAL YORK RD,,"S OF LAWRENCE,ROYAL YORK PLAZA,2ND LEVEL",,Toronto,Ontario,M9P 1N8,Canada,,43.691895,-79.531070,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
415 THE WESTWAY,,SE CORNER OF THE WESTWAY + MARTIN GROVE,,Toronto,Ontario,M9R 1H4,Canada,,43.683816,-79.564906,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
731 THE QUEENSWAY,,SE CORNER OF THE QUEENSWAY + ROYAL YORK,,Toronto,Ontario,M8Y 1K5,Canada,,43.626088,-79.502338,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
