store_name	store_number	address	address2	city	state	zip_code	country	phone_number	latitude	longitude	store_hours	store_type	other_fields
Portland, JCPenney at Clackamas Town Center		12300 SE 82nd Ave	Portland, OR 97086-7788	Portland	Oregon	97086-7788	Sephora inside JCPenney	(503) 653-8830			Mo-Sa 10:00-21:00; Su 10:00-19:00	Store	
Tulsa, JCPenney at Woodland Hills Mall		6931 S Memorial Dr	Tulsa, OK 74133	Tulsa	Oklahoma	74133	Sephora inside JCPenney	(918) 252-7525			Mo-Sa 10:00-21:00; Su 12:00-19:00	Store	
Tulsa, JCPenney at Tulsa Promenade		4101 S Yale Ave	Tulsa, OK 74135	Tulsa	Oklahoma	74135	Sephora inside JCPenney	(918) 627-8500			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Owasso, JCPenney at Center at Owasso		9056 N 121st East Ave	Owasso, OK 74055-5315	Owasso	Oklahoma	74055-5315	Sephora inside JCPenney	(918) 401-2460			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Oklahoma City, JCPenney at Quail Springs Mall		2501 W Memorial Rd	Oklahoma City, OK 73134-8099	Oklahoma City	Oklahoma	73134-8099	Sephora inside JCPenney	(405) 755-5500			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Oklahoma City, JCPenney at Penn Square Mall		1901 N.W. Expressway	Oklahoma City, OK 73118-1608	Oklahoma City	Oklahoma	73118-1608	Sephora inside JCPenney	(405) 840-4522			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Midwest City, JCPenney at Town Center Plaza		7271 SE 29th St	Midwest City, OK 73110-6092	Midwest City	Oklahoma	73110-6092	Sephora inside JCPenney	(405) 739-0130			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Moore, JCPenney at Shops at Moore		2400 S Service Rd	Moore, OK 73160-5504	Moore	Oklahoma	73160-5504	Sephora inside JCPenney	(405) 237-1542			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Youngstown, JCPenney at Southern Park Mall		7401 Market Street	Youngstown, OH 44512-5694	Youngstown	Ohio	44512-5694	Sephora inside JCPenney	(330) 758-6451			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Toledo, JCPenney at Westfield Franklin Park		5001 MONROE ST	Toledo, OH 43623	Toledo	Ohio	43623	Sephora inside JCPenney	(419) 473-3511			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Strongsville, JCPenney at SouthPark Center		17177 Royalton Rd	Strongsville, OH 44136	Strongsville	Ohio	44136	Sephora inside JCPenney	(440) 846-8419			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Sandusky, JCPenney at Sandusky Mall		4316 Milan Rd	Sandusky, OH 44870	Sandusky	Ohio	44870	Sephora inside JCPenney	(419) 627-8840			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Mentor, JCPenney at Great Lakes Mall		7850 MENTOR AVE STE 930	Mentor, OH 44060	Mentor	Ohio	44060	Sephora inside JCPenney	(440) 255-4461			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Parma, JCPenney at Parmatown		7900 Day Drive	Parma, OH 44129	Parma	Ohio	44129	Sephora inside JCPenney	(440) 845-7200			Mo-Sa 10:00-21:00; Su 11:30-17:30	Store	
N Olmsted, JCPenney at Great Northern Mall		5100 GREAT NORTHERN MALL	N Olmsted, OH 44070	N Olmsted	Ohio	44070	Sephora inside JCPenney	(440) 779-8800			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Niles, JCPenney at Eastwood Mall		5555 Youngstown-Warren Rd	Niles, OH 44446	Niles	Ohio	44446	Sephora inside JCPenney	(330) 544-1331			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Hamilton, JCPenney at Bridgewater Falls Shopping Center		3459 Princeton Rd	Hamilton, OH 45011-7956	Hamilton	Ohio	45011-7956	Sephora inside JCPenney	(513) 671-2511			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Lima, JCPenney at Lima Mall		2400 Elida Rd	Lima, OH 45805-1223	Lima	Ohio	45805-1223	Sephora inside JCPenney	(419) 331-0361			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Maumee, JCPenney at The Shops at Fallen Timbers		3100 Main St	Maumee, OH 43537	Maumee	Ohio	43537	Sephora inside JCPenney	(419) 878-0153			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Dublin, JCPenney at Tuttle Crossing Mall		5083 Tuttle Crossing Blvd	Dublin, OH 43016-1508	Dublin	Ohio	43016-1508	Sephora inside JCPenney	(614) 717-0399			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Columbus, JCPenney at Polaris Fashion Place		1500 Polaris Parkway	Columbus, OH 43240-2040	Columbus	Ohio	43240-2040	Sephora inside JCPenney	(614) 846-1807			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Colerain Township, JCPenney at Stone Creek Town Center		3675 Stone Creek Blvd	Colerain Township, OH 45251-1459	Colerain Township	Ohio	45251-1459	Sephora inside JCPenney	(513) 245-9800			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Cincinnati, JCPenney at Governors Plaza		9365 Fields Ertel Rd	Cincinnati, OH 45249-8302	Cincinnati	Ohio	45249-8302	Sephora inside JCPenney	(513) 697-0333			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Avon, JCPenney at Avon Crossing		1301 Center Rd	Avon, OH 44011-1211	Avon	Ohio	44011-1211	Sephora inside JCPenney	(440) 695-3011			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Cincinnati, JCPenney at Eastgate Mall		4621 EASTGATE BLVD	Cincinnati, OH 45245	Cincinnati	Ohio	45245	Sephora inside JCPenney	(513) 752-2622			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Beaver Creek, JCPenney at Fairfield Commons		2727 FAIRFIELD COMMONS BLVD	Beaver Creek, OH 45431	Beaver Creek	Ohio	45431	Sephora inside JCPenney	(937) 427-3300			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Centerville, JCPenney at Dayton Mall		2700 Miamisburg-Centerville Rd	Centerville, OH 45459-3735	Centerville	Ohio	45459-3735	Sephora inside JCPenney	(937) 436-5465			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Minot, JCPenney at Dakota Square Mall		2400 10TH ST SW	Minot, ND 58701	Minot	North Dakota	58701	Sephora inside JCPenney	(701) 839-4255			Mo-Fr 10:00-21:00; Sa 10:00-19:00; Su 12:00-18:00	Store	
Akron, JCPenney at Market Square at Montrose		3742 BROOKWALL DRIVE STE 10	Akron, OH 44333	Akron	Ohio	44333	Sephora inside JCPenney	(330) 670-9137			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Akron, JCPenney at Chapel Hill Mall		2000 Brittain Rd Ste. 600	Akron, OH 44310	Akron	Ohio	44310	Sephora inside JCPenney	(330) 633-7700			Mo-Sa 10:00-21:00; Su 12:00-17:00	Store	
Grand Forks, JCPenney at Columbia Mall		2800 S Columbia Rd	Grand Forks, ND 58201	Grand Forks	North Dakota	58201	Sephora inside JCPenney	(701) 746-4521			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Fargo, JCPenney at West Acres Shopping Center		3902 13th Ave SW	Fargo, ND 58103-3399	Fargo	North Dakota	58103-3399	Sephora inside JCPenney	(701) 282-9770			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Bismarck, JCPenney at Kirkwood Mall		850 KIRKWOOD MALL	Bismarck, ND 58504	Bismarck	North Dakota	58504	Sephora inside JCPenney	(701) 258-9300			Mo-Fr 10:00-21:00; Sa 10:00-19:00; Su 12:00-18:00	Store	
Rocky Mount, JCPenney at Golden East Crossing		1100 Wesleyan Blvd	Rocky Mount, NC 27804	Rocky Mount	North Carolina	27804	Sephora inside JCPenney	(252) 972-6800			Mo-Sa 10:00-21:00; Su 13:00-18:00	Store	
Wilmington, JCPenney at Independence Mall		3500 Oleander Dr	Wilmington, NC 28403	Wilmington	North Carolina	28403	Sephora inside JCPenney	(910) 392-1400			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Winston-Salem, JCPenney at Hanes Mall		3320 Silas Creek Pkwy	Winston-Salem, NC 27103-3032	Winston-Salem	North Carolina	27103-3032	Sephora inside JCPenney	(336) 768-2510			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Raleigh, JCPenney at North Hills S/C		4217 Six Forks Rd Ste 100	Raleigh, NC 27609	Raleigh	North Carolina	27609	Sephora inside JCPenney	(919) 787-4920			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Pineville, JCPenney at Carolina Place Mall		11017 Carolina Place Pkwy	Pineville, NC 28134-8370	Pineville	North Carolina	28134-8370	Sephora inside JCPenney	(704) 543-4197			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Matthews, JCPenney at Windsor Mall		10101 East Independence Blvd	Matthews, NC 28215	Matthews	North Carolina	28215	Sephora inside JCPenney	(704) 443-5710			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Hickory, JCPenney at Valley Hills Mall		1970 US Hwy 70 SE	Hickory, NC 28602-5158	Hickory	North Carolina	28602-5158	Sephora inside JCPenney	(828) 328-2661			Mo-Fr 10:00-21:00; Sa 09:00-21:00; Su 12:00-18:00	Store	
Greenville, JCPenney at Greenville Mall		714 Greenville Blvd	Greenville, NC 27858	Greenville	North Carolina	27858	Sephora inside JCPenney	(252) 756-1190			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Greensboro, JCPenney at Four Seasons Town Centre		100 FOUR SEASONS TOWN CTR	Greensboro, NC 27407	Greensboro	North Carolina	27407	Sephora inside JCPenney	(336) 294-6871			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Fayetteville, JCPenney at Cross Creek Mall		300 Cross Creek Mall	Fayetteville, NC 28303-7299	Fayetteville	North Carolina	28303-7299	Sephora inside JCPenney	(910) 864-2525			Mo-Sa 09:00-21:30; Su 12:00-19:00	Store	
Burlington, JCPenney at Alamance Crossing		3141 Watermill Dr	Burlington, NC 27215-8237	Burlington	North Carolina	27215-8237	Sephora inside JCPenney	(336) 524-9012			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Durham, JCPenney at Streets at Southpoint		6910 FAYETTEVILLE RD STE 600	Durham, NC 27713	Durham	North Carolina	27713	Sephora inside JCPenney	(919) 806-3682			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Williamsville, JCPenney at Eastern Hills Mall		4545 Transit Rd	Williamsville, NY 14221-6080	Williamsville	New York	14221-6080	Sephora inside JCPenney	(716) 633-2500			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Syracuse, JCPenney at Destiny USA		9559 Destiny USA Dr	Syracuse, NY 13290	Syracuse	New York	13290	Sephora inside JCPenney	(315) 466-2405			Tu-Sa 02:00-21:00; Su 11:00-18:00	Store	
Victor, JCPenney at Eastview Mall		600 Eastview Mall	Victor, NY 14564-1002	Victor	New York	14564-1002	Sephora inside JCPenney	(585) 425-7700			Mo-Sa 02:00-21:30; Su 11:00-18:00	Store	
Staten Island, JCPenney at Staten Island Mall		140 Marsh Ave	Staten Island, NY 10314-5902	Staten Island	New York	10314-5902	Sephora inside JCPenney	(718) 982-9330			Mo-Th 10:00-21:30; Fr-Sa 10:00-22:00; Su 11:00-19:00	Store	
Saratoga Springs, JCPenney at Wilton Mall at Saratoga		3065 Route 50	Saratoga Springs, NY 12866	Saratoga Springs	New York	12866	Sephora inside JCPenney	(518) 581-8326			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Rochester, JCPenney at Marketplace Mall		25 MIRACLE MILE DR	Rochester, NY 14623	Rochester	New York	14623	Sephora inside JCPenney	(585) 424-1010			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Queensbury, JCPenney at Aviation Mall		578 Aviation Rd Ste 3	Queensbury, NY 12804	Queensbury	New York	12804	Sephora inside JCPenney	(518) 761-1229			Mo-Sa 09:30-21:00; Su 11:00-17:00	Store	
Poughkeepsie, JCPenney at Poughkeepsie Galleria		2001 South Rd (Route 9)	Poughkeepsie, NY 12601-5978	Poughkeepsie	New York	12601-5978	Sephora inside JCPenney	(845) 298-0572			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
New York, JCPenney at Manhattan Mall		100 W 32nd Street	New York, NY 10001	New York	New York	10001	Sephora inside JCPenney	(212) 295-6120			Mo-Sa 09:00-21:30; Su 11:00-21:00	Store	
Middletown, JCPenney at Crystal Run Galleria		1 N Galleria Drive	Middletown, NY 10941-3032	Middletown	New York	10941-3032	Sephora inside JCPenney	(845) 692-4700			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
New Hartford, JCPenney at Sangertown Square Mall		1 Sangertown Square	New Hartford, NY 13413-1597	New Hartford	New York	13413-1597	Sephora inside JCPenney	(315) 797-6010			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Johnson City, JCPenney at Oakdale Mall		601-635 Harry L Dr Ste 99	Johnson City, NY 13790	Johnson City	New York	13790	Sephora inside JCPenney	(607) 770-9211			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Horseheads, JCPenney at Arnot Mall		3300 CHAMBERS RD STE 5090	Horseheads, NY 14845	Horseheads	New York	14845	Sephora inside JCPenney	(607) 739-3521			Mo-Th 10:00-21:00; Fr-Sa 10:00-21:30; Su 11:00-18:00	Store	
Garden City, JCPenney at Roosevelt Field Shopping Center		630 Old Country Rd	Garden City, NY 11530-3600	Garden City	New York	11530-3600	Sephora inside JCPenney	(516) 877-1100			Mo-Sa 10:00-21:30; Su 23:30-18:00	Store	
Greece, JCPenney at Mall at Greece Ridge		231 GREECE RIDGE CTR DR	Greece, NY 14626	Greece	New York	14626	Sephora inside JCPenney	(585) 723-5700			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Elmhurst, JCPenney at Queens Center		92-59 59th Ave	Elmhurst, NY 11373-5018	Elmhurst	New York	11373-5018	Sephora inside JCPenney	(718) 592-1800			Mo-Sa 10:00-21:30; Su 11:00-21:00	Store	
Clifton Park, JCPenney at Clifton Park Center		22 Clifton Country Rd	Clifton Park, NY 12065-3810	Clifton Park	New York	12065-3810	Sephora inside JCPenney	(518) 371-1500			Mo-Fr 10:00-21:30; Sa 09:00-21:30; Su 11:00-18:00	Store	
Brooklyn, JCPenney at Gateway Shopping Center Phase II		360 Gateway Dr	Brooklyn, NY 11239	Brooklyn	New York	11239	Sephora inside JCPenney	(718) 235-3818			Mo-Fr 09:00-21:30; Sa 09:00-22:00; Su 10:00-20:00	Store	
Cheektowaga, JCPenney at Walden Galleria		3 Walden Galleria Dr	Cheektowaga, NY 14225-5424	Cheektowaga	New York	14225-5424	Sephora inside JCPenney	(716) 681-5100			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Bronx, JCPenney at Bay Plaza Mall		100 Baychester Ave	Bronx, NY 10475-4572	Bronx	New York	10475-4572	Sephora inside JCPenney	(718) 862-9125			Mo-Th 10:00-22:00; Fr-Sa 09:00-22:00; Su 10:00-21:00	Store	
Blasdell, JCPenney at McKinley Mall		6 McKinley Mall	Blasdell, NY 14219-2659	Blasdell	New York	14219-2659	Sephora inside JCPenney	(716) 822-1166			Mo-Th 10:00-21:00; Fr-Sa 10:00-21:30; Su 11:00-18:00	Store	
Bay Shore, JCPenney at Westfield Shopping Town		1701 Sunrise Highway	Bay Shore, NY 11706-6081	Bay Shore	New York	11706-6081	Sephora inside JCPenney	(631) 666-3000			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Las Cruces, JCPenney at Mesilla Valley Mall		700 Telshor Blvd Ste 2000	Las Cruces, NM 88011	Las Cruces	New Mexico	88011	Sephora inside JCPenney	(575) 522-3041			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Amherst, JCPenney at Boulevard Mall		1303 Niagara Falls Blvd	Amherst, NY 14226-1185	Amherst	New York	14226-1185	Sephora inside JCPenney	(716) 837-2100			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Albany, JCPenney at Crossgates Mall		120 Washington Ave Ext	Albany, NY 12203-5376	Albany	New York	12203-5376	Sephora inside JCPenney	(518) 456-0824			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Albuquerque, JCPenney at Cottonwood Mall		10000 Coors Bypass NW	Albuquerque, NM 87114-4050	Albuquerque	New Mexico	87114-4050	Sephora inside JCPenney	(505) 890-8727			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Albuquerque, JCPenney at Coronado Center		6600 Menaul Blvd NE	Albuquerque, NM 87110-3439	Albuquerque	New Mexico	87110-3439	Sephora inside JCPenney	(505) 883-5800			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Woodbridge, JCPenney at Woodbridge Center		428 Woodbridge Center Dr	Woodbridge, NJ 07095-1394	Woodbridge	New Jersey	07095-1394	Sephora inside JCPenney	(732) 636-6000			Mo-Th 10:00-21:30; Fr-Sa 10:00-22:00; Su 11:00-19:00	Store	
Trenton, JCPenney at Quaker Bridge Mall		500 Quaker Bridge Mall	Trenton, NJ 8648	Trenton	New Jersey	8648	Sephora inside JCPenney	(609) 799-8100			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Wayne, JCPenney at Wayne Towne Center		260 Wayne Towne Center	Wayne, NJ 07470-6993	Wayne	New Jersey	07470-6993	Sephora inside JCPenney	(973) 785-3200			Mo-Sa 10:00-21:30; Su 11:00-19:30	Store	
Toms River, JCPenney at Ocean County Mall		1201 Hooper Ave	Toms River, NJ 08753-3392	Toms River	New Jersey	08753-3392	Sephora inside JCPenney	(732) 240-5400			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Paramus, JCPenney at Garden State Plaza		502 Garden State Plaza	Paramus, NJ 07652-2492	Paramus	New Jersey	07652-2492	Sephora inside JCPenney	(201) 843-2910			Mo-Sa 10:00-21:30; Su Closed	Store	
Mays Landing, JCPenney at Hamilton Mall		4405 Black Horse Pike	Mays Landing, NJ 8330	Mays Landing	New Jersey	8330	Sephora inside JCPenney	(609) 645-9399			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Rockaway, JCPenney at Rockaway Town Square		305 Mount Hope Ave	Rockaway, NJ 07866-2147	Rockaway	New Jersey	07866-2147	Sephora inside JCPenney	(973) 361-4500			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Jersey City, JCPenney at Newport Center Mall		10 MALL DR W	Jersey City, NJ 7310	Jersey City	New Jersey	7310	Sephora inside JCPenney	(201) 217-1111			Mo-Sa 10:00-21:30; Su 11:00-19:00	Store	
Eatontown, JCPenney at Monmouth Mall		State Hwy 35 and 36	Eatontown, NJ 07724-2093	Eatontown	New Jersey	07724-2093	Sephora inside JCPenney	(732) 544-8600			Mo-Sa 10:00-21:30; Su 11:00-19:00	Store	
Freehold, JCPenney at Freehold Raceway Mall		3710 Route 9	Freehold, NJ 07728-1600	Freehold	New Jersey	07728-1600	Sephora inside JCPenney	(732) 780-4001			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Deptford, JCPenney at Deptford Mall		1750 DEPTFORD CENTER RD STE 3	Deptford, NJ 8096	Deptford	New Jersey	8096	Sephora inside JCPenney	(856) 845-6111			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
East Brunswick, JCPenney at Brunswick Square Mall		755 State Route 18	East Brunswick, NJ 08816-4995	East Brunswick	New Jersey	08816-4995	Sephora inside JCPenney	(732) 238-3900			Mo-Sa 10:00-21:30; Su 11:00-19:00	Store	
West Lebanon, JCPenney at Upper Valley Plaza		RT 12 A	West Lebanon, NH 3784	West Lebanon	New Hampshire	3784	Sephora inside JCPenney	(603) 298-5971			Mo-Sa 09:00-21:00; Su 10:00-18:00	Store	
Salem, JCPenney at Mall at Rockingham Park		81 ROCKINGHAM PARK	Salem, NH 3079	Salem	New Hampshire	3079	Sephora inside JCPenney	(603) 893-4322			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Cherry Hill, JCPenney at Cherry Hill Mall		2000 Route 38	Cherry Hill, NJ 08002-2144	Cherry Hill	New Jersey	08002-2144	Sephora inside JCPenney	(856) 488-0330			Mo-Sa 10:00-21:30; Su 11:00-18:00	Store	
Newington, JCPenney at Fox Run Mall		50 FOX RUN RD STE 35	Newington, NH 3801	Newington	New Hampshire	3801	Sephora inside JCPenney	(603) 433-0812			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Manchester, JCPenney at Mall of New Hampshire		1500 S WILLOW ST	Manchester, NH 3103	Manchester	New Hampshire	3103	Sephora inside JCPenney	(603) 622-1335			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Nashua, JCPenney at Pheasant Lane Mall		310 Daniel Webster Hwy	Nashua, NH 3060	Nashua	New Hampshire	3060	Sephora inside JCPenney	(603) 888-9380			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Keene, JCPenney at West Street Shopping Center		381 West St	Keene, NH 3431	Keene	New Hampshire	3431	Sephora inside JCPenney	(603) 352-2166			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Las Vegas, JCPenney at Meadows Shopping Center		4400 Meadows Lane	Las Vegas, NV 89107-3196	Las Vegas	Nevada	89107-3196	Sephora inside JCPenney	(702) 870-9182			Mo-Sa 10:00-21:00; Su 10:00-19:00	Store	
Las Vegas, JCPenney at Grand Canyon Parkway		4485 S GRAND CANYON DR	Las Vegas, NV 89147	Las Vegas	Nevada	89147	Sephora inside JCPenney	(702) 876-3644			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Henderson, JCPenney at Galleria Mall at Sunset		1312 W Sunset Rd	Henderson, NV 89014-6606	Henderson	Nevada	89014-6606	Sephora inside JCPenney	(702) 451-4545			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Reno, JCPenney at Meadowood Mall		5200 MEADOWOOD MALL CIR	Reno, NV 89502	Reno	Nevada	89502	Sephora inside JCPenney	(775) 827-2700			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Carson City, JCPenney at Southgate Mall		3939 S Carson St	Carson City, NV 89701	Carson City	Nevada	89701	Sephora inside JCPenney	(775) 884-3330			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Papillion, JCPenney at Shadow Lake Town Center		7751 Towne Center Pkwy	Papillion, NE 68046-2135	Papillion	Nebraska	68046-2135	Sephora inside JCPenney	(402) 592-1825			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Omaha, JCPenney at Westroads Shopping Center		800 N 98TH ST	Omaha, NE 68114	Omaha	Nebraska	68114	Sephora inside JCPenney	(402) 397-4600			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Omaha, JCPenney at Oak View  Mall		3202 Oakview Dr	Omaha, NE 68144	Omaha	Nebraska	68144	Sephora inside JCPenney	(402) 334-2470			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Lincoln, JCPenney at Gateway Mall		68 Gateway Mall	Lincoln, NE 68505-2433	Lincoln	Nebraska	68505-2433	Sephora inside JCPenney	(402) 466-2222			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Billings, JCPenney at Rimrock Mall		140 South 24th Street West	Billings, MT 59102-5688	Billings	Montana	59102-5688	Sephora inside JCPenney	(406) 652-4000			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Washington, JCPenney at Washington		5886 Highway 100	Washington, MO 63090	Washington	Missouri	63090	Sephora inside JCPenney	(636) 390-2405			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
St Louis, JCPenney at South County Center		100 S County Center Way	St Louis, MO 63129-1094	St Louis	Missouri	63129-1094	Sephora inside JCPenney	(314) 487-2500			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
St Peters, JCPenney at Mid Rivers Mall		4 Mid Rivers Mall	St Peters, MO 63376-4301	St Peters	Missouri	63376-4301	Sephora inside JCPenney	(636) 970-2115			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
St Joseph, JCPenney at East Hills Shopping Center		3702 Frederick Ave	St Joseph, MO 64506-3089	St Joseph	Missouri	64506-3089	Sephora inside JCPenney	(816) 279-6381			Mo-Sa 10:00-21:00; Su 12:00-17:00	Store	
Sedalia, JCPenney at Thompson Hills Shopping Center		3159 W Broadway	Sedalia, MO 65301	Sedalia	Missouri	65301	Sephora inside JCPenney	(660) 827-2880			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Springfield, JCPenney at Battlefield Mall		2825 S Glenstone Ave	Springfield, MO 65804-3781	Springfield	Missouri	65804-3781	Sephora inside JCPenney	(417) 883-4220			Mo-Sa 09:30-21:00; Su 11:00-19:00	Store	
Lees Summit, JCPenney at Summit Fair		990 NW Blue Pkwy	Lees Summit, MO 64086-5718	Lees Summit	Missouri	64086-5718	Sephora inside JCPenney	(816) 600-3253			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Kansas City, JCPenney at Tiffany Springs Market		9100 N Skyview Ave	Kansas City, MO 64154-8500	Kansas City	Missouri	64154-8500	Sephora inside JCPenney	(816) 410-2960			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Kansas City, JCPenney at Plaza at Shoal Creek		8100 N Flintlock Rd	Kansas City, MO 64158-1115	Kansas City	Missouri	64158-1115	Sephora inside JCPenney	(816) 415-2397			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Independence, JCPenney at Bolger Square		17610 East 39TH St S	Independence, MO 64055	Independence	Missouri	64055	Sephora inside JCPenney	(816) 350-0172			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Joplin, JCPenney at Northpark Mall		101 Range Line	Joplin, MO 64801	Joplin	Missouri	64801	Sephora inside JCPenney	(417) 623-5700			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Fenton, JCPenney at Summit at Gravois Bluff		798 Gravois Bluffs Blvd	Fenton, MO 63026-7726	Fenton	Missouri	63026-7726	Sephora inside JCPenney	(636) 203-9338			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Des Peres, JCPenney at Westfield Shoppingtown West County Center		37 West County Center	Des Peres, MO 63131	Des Peres	Missouri	63131	Sephora inside JCPenney	(314) 965-9100			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Columbia, JCPenney at Columbia Mall		2301 W Worley	Columbia, MO 65203-1092	Columbia	Missouri	65203-1092	Sephora inside JCPenney	(573) 445-7001			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Cape Girardeau, JCPenney at West Park Mall		200 W Park Mall	Cape Girardeau, MO 63703-6397	Cape Girardeau	Missouri	63703-6397	Sephora inside JCPenney	(573) 334-2881			Mo-Th 10:00-21:00; Fr 10:00-22:00; Sa 09:00-21:00; Su 12:00-18:00	Store	
Tupelo, JCPenney at Mall at Barnes Crossing		1001 BARNES CROSSING RD STE 300	Tupelo, MS 38804	Tupelo	Mississippi	38804	Sephora inside JCPenney	(662) 844-2660			Mo-Sa 10:00-21:00; Su 12:30-18:00	Store	
Ridgeland, JCPenney at Northpark Mall		1200 E County Line Rd	Ridgeland, MS 39157	Ridgeland	Mississippi	39157	Sephora inside JCPenney	(601) 957-3113			Mo-Sa 10:00-21:00; Su 00:00-17:00	Store	
Hattiesburg, JCPenney at Turtle Creek Mall		1000 TURTLE CREEK DR	Hattiesburg, MS 39402	Hattiesburg	Mississippi	39402	Sephora inside JCPenney	(601) 261-0040			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Southaven, JCPenney at Southaven Towne Center		6620 TOWNE CENTER LOOP STE 3	Southaven, MS 38671	Southaven	Mississippi	38671	Sephora inside JCPenney	(662) 536-1428			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
